time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,11,7,4,3
2026-02-25 00:00:00+00:00,20,8,3,2
2026-02-26 00:00:00+00:00,20,10,2,2
2026-02-27 00:00:00+00:00,21,11,1,1
2026-02-28 00:00:00+00:00,20,10,0,0
2026-03-01 00:00:00+00:00,20,10,1,1
2026-03-02 00:00:00+00:00,21,16,1,1
2026-03-03 00:00:00+00:00,12,10,2,2
2026-03-04 00:00:00+00:00,20,10,5,3
2026-03-05 00:00:00+00:00,19,9,3,2
2026-03-06 00:00:00+00:00,17,7,2,1
2026-03-07 00:00:00+00:00,7,5,1,1
2026-03-08 00:00:00+00:00,14,8,1,1
2026-03-09 00:00:00+00:00,15,10,2,2
