time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,27,12,0,0
2026-07-26 00:00:00+00:00,21,8,0,0
2026-07-27 00:00:00+00:00,31,16,1,1
2026-07-28 00:00:00+00:00,18,9,9,2
2026-07-29 00:00:00+00:00,14,8,0,0
2026-07-30 00:00:00+00:00,19,9,0,0
2026-07-31 00:00:00+00:00,11,5,0,0
2026-08-01 00:00:00+00:00,19,9,0,0
2026-08-02 00:00:00+00:00,16,12,0,0
2026-08-03 00:00:00+00:00,8,5,0,0
2026-08-04 00:00:00+00:00,23,13,1,1
2026-08-05 00:00:00+00:00,15,9,0,0
2026-08-06 00:00:00+00:00,4,3,0,0
2026-08-07 00:00:00+00:00,23,11,0,0
