time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-12 00:00:00+00:00,12,6,,
2025-07-13 00:00:00+00:00,11,5,2.0,1.0
2025-07-14 00:00:00+00:00,22,10,,
2025-07-15 00:00:00+00:00,16,10,2.0,1.0
2025-07-16 00:00:00+00:00,10,4,,
2025-07-17 00:00:00+00:00,9,3,1.0,1.0
2025-07-18 00:00:00+00:00,11,5,,
2025-07-19 00:00:00+00:00,9,3,,
2025-07-20 00:00:00+00:00,9,3,,
2025-07-21 00:00:00+00:00,18,7,,
2025-07-22 00:00:00+00:00,10,4,1.0,1.0
2025-07-23 00:00:00+00:00,14,7,,
2025-07-24 00:00:00+00:00,12,6,,
2025-07-25 00:00:00+00:00,1,1,,
