time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,13,7,,
2025-06-14 00:00:00+00:00,10,4,,
2025-06-15 00:00:00+00:00,9,3,,
2025-06-16 00:00:00+00:00,19,8,,
2025-06-17 00:00:00+00:00,11,5,1.0,1.0
2025-06-18 00:00:00+00:00,13,7,,
2025-06-19 00:00:00+00:00,9,3,1.0,1.0
2025-06-20 00:00:00+00:00,9,3,,
2025-06-21 00:00:00+00:00,10,4,3.0,1.0
2025-06-22 00:00:00+00:00,9,3,,
2025-06-23 00:00:00+00:00,19,8,,
2025-06-24 00:00:00+00:00,9,3,,
2025-06-25 00:00:00+00:00,7,3,3.0,2.0
2025-06-26 00:00:00+00:00,2,1,2.0,2.0
