time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,14,8,1,1
2026-03-09 00:00:00+00:00,15,10,2,2
2026-03-10 00:00:00+00:00,4,4,3,2
2026-03-11 00:00:00+00:00,11,6,2,2
2026-03-12 00:00:00+00:00,11,5,0,0
2026-03-13 00:00:00+00:00,20,10,0,0
2026-03-14 00:00:00+00:00,18,8,0,0
2026-03-15 00:00:00+00:00,11,5,0,0
2026-03-16 00:00:00+00:00,15,10,0,0
2026-03-17 00:00:00+00:00,3,3,3,3
2026-03-18 00:00:00+00:00,14,6,0,0
2026-03-19 00:00:00+00:00,5,3,1,1
2026-03-20 00:00:00+00:00,3,3,0,0
2026-03-21 00:00:00+00:00,16,8,0,0
