time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,5,5,4.0,2.0
2025-09-28 00:00:00+00:00,3,3,,
2025-09-29 00:00:00+00:00,10,9,3.0,2.0
2025-09-30 00:00:00+00:00,6,6,2.0,2.0
2025-10-01 00:00:00+00:00,9,5,2.0,2.0
2025-10-02 00:00:00+00:00,6,5,1.0,1.0
2025-10-03 00:00:00+00:00,8,7,,
2025-10-04 00:00:00+00:00,4,4,,
2025-10-05 00:00:00+00:00,8,8,,
2025-10-06 00:00:00+00:00,13,12,1.0,1.0
2025-10-07 00:00:00+00:00,9,9,1.0,1.0
2025-10-08 00:00:00+00:00,7,7,,
2025-10-09 00:00:00+00:00,4,4,,
2025-10-10 00:00:00+00:00,2,2,1.0,1.0
